Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
		762.969294685068	0.000473720072883437	762.969294685068	99.9298751034868
		763	0.000471964110403324	763	99.9298970886585
		763.052108750206	0.000469005446720483	763.052108750206	99.9299342292477
		763.134940794873	0.000464356936819964	763.134940794873	99.9299928329175
		763.217790824923	0.000459773570275105	763.217790824923	99.9300509275884
		763.300658846216	0.000455254100733658	763.300658846216	99.9301085091927
		763.383544864611	0.000450797224562967	763.383544864611	99.9301655619186
		763.466448885974	0.000446399932833801	763.466448885974	99.9302219171165
		763.549370916169	0.000442063442087795	763.549370916169	99.9302777741865
		763.632310961065	0.000437786722776809	763.632310961065	99.9303331379858
		763.715269026533	0.00043356879066847	763.715269026533	99.9303880132496
		763.798245118448	0.000429408705342556	763.798245118448	99.9304424045961
		763.881239242685	0.000425305655813172	763.881239242685	99.9304963228338
		763.964251405123	0.000421258634654312	763.964251405123	99.9305497691231
		764	0.000419533091750204	764	99.9305726366366
		764.047281611644	0.000417266662267337	764.047281611644	99.9306027448917
		764.130329868131	0.000413328676154439	764.130329868131	99.9306552465863
		764.213396180471	0.000409443945985782	764.213396180471	99.9307072853476
		764.296480554553	0.000405611639370963	764.296480554553	99.9307588666805
		764.379582996268	0.000401830939134465	764.379582996268	99.9308099945178
		764.462703511511	0.000398100983400089	764.462703511511	99.9308606732473
		764.545842106179	0.000394420951869165	764.545842106179	99.9309109069346
		764.62899878617	0.000390790033157478	764.62899878617	99.930960699595
		764.712173557387	0.000387207467916733	764.712173557387	99.9310100551178
		764.795366425734	0.000383672497359102	764.795366425734	99.9310589772674
		764.878577397117	0.000380184368378182	764.878577397117	99.9311074698269
		764.961806477447	0.000376742326982618	764.961806477447	99.9311555366995
		765	0.000375178260318775	765	99.9311774494662
		765.045053672636	0.000373345634452322	765.045053672636	99.9312031816073
		765.128318988598	0.000369993584881991	765.128318988598	99.9312504081825
		765.211602431251	0.000366685486789785	765.211602431251	99.9312972200015
		765.294904006514	0.000363420664067361	765.294904006514	99.9313436204209
